title,title_lower,salary,company,company_lower,rating,job_location,job_location_clean
Associate Software Engineer,associate software engineer,Estimated $81.1K - $103K a year,Warner Bros. Discovery,warner bros. discovery,4,"Salt Lake City, UT
+13 locations","Salt Lake City, UT"
SOFTWARE ENGINEER,software engineer,Estimated $93.3K - $118K a year,Dascase Technologies,dascase technologies,NaN,"Morrisville, PA 19067","Morrisville, PA"
Senior Laravel/PHP Application Developer,senior laravel/php application developer,NaN,Stand Up Wireless,stand up wireless,3.9,Remote,remote
Junior Software Engineer,junior software engineer,Estimated $60.4K - $76.5K a year,Technology Group International,technology group international,4,"Toledo, OH 43617","Toledo, OH"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"SDET- Cypress/JavaScript/Rest Assured
new","sdet- cypress/javascript/rest assured
new",NaN,Kforce,kforce,3.8,"Boston, MA 02109 
(Haymarket area)
+1 location","Boston, MA"
Junior Software Engineer,junior software engineer,NaN,"ALTRON, Inc.","altron, inc.",NaN,"Fairfax, VA","Fairfax, VA"
Software Developers,software developers,Estimated $95.8K - $121K a year,Quest IT Solutions,quest it solutions,NaN,"Sugar Land, TX 77478","Sugar Land, TX"
Junior Software Development Engineer,junior software development engineer,Estimated $71.8K - $90.9K a year,DZS,dzs,3.5,"Plano, TX","Plano, TX"
JAVA Software Engineer Paid (Global/Remote) - Help Change the World!,java software engineer paid (global/remote) - help change the world!,Estimated $83.8K - $106K a year,UniversalGiving,universalgiving,4.7,"+1 location
Remote",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Software Engineer
new","software engineer
new",NaN,QualiTau Inc.,qualitau inc.,NaN,"Santa Clara, CA 95054","Santa Clara, CA"
Software Engineer,software engineer,NaN,Avionte Software,avionte software,NaN,Remote,remote
"Seeking Full Stack Developer
new","seeking full stack developer
new",NaN,Pivotal Talent Search,pivotal talent search,5,Remote,remote
Financial Modeler,financial modeler,NaN,Syntagma Group,syntagma group,3,Remote,remote
"Service Assurance Engineer
new","service assurance engineer
new",NaN,UCLA Health,ucla health,4,"Los Angeles, CA 90095","Los Angeles, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Labview Engineer,labview engineer,NaN,Peraton,peraton,3.2,"Bethesda, MD 20817","Bethesda, MD"
DevOps Engineer (TS/SCI clearance),devops engineer (ts/sci clearance),NaN,ABBTECH Consulting,abbtech consulting,5,"Fairfax, VA 22030","Fairfax, VA"
Robotics Software Engineer (RCS),robotics software engineer (rcs),Estimated $122K - $155K a year,John Galt Staffing,john galt staffing,3.5,"Andover, MA","Andover, MA"
"Software Engineer, Robotics (All levels)","software engineer, robotics (all levels)",NaN,Neuralink,neuralink,NaN,"Fremont, CA
+7 locations","Fremont, CA"
Software QA Engineer,software qa engineer,NaN,Apple,apple,4.1,"Culver City, CA
+24 locations","Culver City, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,Estimated $96.3K - $122K a year,Idelji,idelji,NaN,"Santa Monica, CA","Santa Monica, CA"
Front end Developer,front end developer,NaN,Gazelle Global Consulting,gazelle global consulting,NaN,Remote,remote
Front-End Developer Plano/Remote,front-end developer plano/remote,Estimated $74.7K - $94.6K a year,Voko Communications,voko communications,NaN,"Remote in Plano, TX",remote
Entry Level Software Developer,entry level software developer,Estimated $49.9K - $63.2K a year,Reynolds and Reynolds,reynolds and reynolds,3.2,"College Station, TX 77845
+4 locations","College Station, TX"
"Software Engineer, Simulation Realism","software engineer, simulation realism",NaN,Waymo,waymo,3.2,"Hybrid remote in Mountain View, CA
+6 locations","Hybrid remote in Mountain View, CA
+6 locations"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Mid-Level Flight Management System Software Engineer (REMOTE)
new","mid-level flight management system software engineer (remote)
new",NaN,Belcan,belcan,3.8,Remote,remote
Software Engineer,software engineer,NaN,"Artizen, Inc.","artizen, inc.",NaN,"Ann Arbor, MI 48103","Ann Arbor, MI"
"Sr. Software Engineer (JAVA/IBM) (Remote for only local to Texas)
new","sr. software engineer (java/ibm) (remote for only local to texas)
new",NaN,"Esolvit Inc.,","esolvit inc.,",4.5,Remote,remote
"Software Engineer
new","software engineer
new",NaN,"RealTime Software Solutions, LLC","realtime software solutions, llc",NaN,Remote in Texas,remote
"Director of Software Development - Hands on C#/.NET Coding!
new","director of software development - hands on c#/.net coding!
new",NaN,Michael Page,michael page,3.7,"Chicago, IL
+3 locations","Chicago, IL"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Jr .Net Full Stack Engineer (Contract - 6 month+),jr .net full stack engineer (contract - 6 month+),NaN,Roc Search,roc search,NaN,"+9 locations
Remote",remote
Jr Software Engineer,jr software engineer,NaN,webfx.com,webfx.com,4.4,"Ann Arbor, MI","Ann Arbor, MI"
"Software Engineer in Test, University Graduate (Quality Assurance - Global E-commerce) - 2023 Start (BS/MS)","software engineer in test, university graduate (quality assurance - global e-commerce) - 2023 start (bs/ms)",NaN,ByteDance,bytedance,4.2,"Seattle, WA
+3 locations","Seattle, WA"
IT Apps Software Engineer - 100% Telework,it apps software engineer - 100% telework,NaN,Health & Human Services Comm,health & human services comm,3.3,"Remote in Austin, TX 78751
+1 location",remote
"Software Engineer, Firmware Integration - Tesla Energy","software engineer, firmware integration - tesla energy",Estimated $96.3K - $122K a year,Tesla,tesla,3.4,"Sparks, NV 89434
+11 locations","Sparks, NV"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Junior Software Engineer,junior software engineer,NaN,Impel,impel,3.6,"Syracuse, NY 13202 
(Downtown area)","Syracuse, NY"
Remote Software Development Engineer - Java/Kotlin,remote software development engineer - java/kotlin,Estimated $92.2K - $117K a year,LifeWay Christian Resources,lifeway christian resources,4.2,Remote,remote
Software Engineer,software engineer,NaN,Applied Intuition,applied intuition,NaN,"Mountain View, CA
+20 locations","Mountain View, CA"
Software Engineer II (Remote),software engineer ii (remote),NaN,Home Depot / THD,home depot / thd,3.7,"Remote in Atlanta, GA 30301
+6 locations",remote
API Engineer,api engineer,NaN,Zillow,zillow,3.8,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,NaN,"Sound Search Solutions, LLC","sound search solutions, llc",NaN,"Fairfax, VA","Fairfax, VA"
Backend Developer,backend developer,NaN,Brooksource,brooksource,3.7,"Remote in Tampa, FL",remote
Software Engineer - Relocation Assistance Offered!,software engineer - relocation assistance offered!,NaN,CACI,caci,3.8,"Aberdeen Proving Ground, MD 21005
+62 locations","Aberdeen Proving Ground, MD"
"SAS Programmer Opening #443256
new","sas programmer opening #443256
new",NaN,Rose International,rose international,3.8,"Elk Grove Village, IL 60007","Elk Grove Village, IL"
"Applications Development Group Manager
new","applications development group manager
new",NaN,Citi,citi,3.9,"Remote in Irving, TX 75061
+11 locations",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Integration Engineer - Python, IBM, TSQL, or VB.NET (remote)
new","integration engineer - python, ibm, tsql, or vb.net (remote)
new",NaN,CruiTek,cruitek,NaN,Remote,remote
Junior Software Engineer,junior software engineer,Estimated $82.3K - $104K a year,EnergyBot,energybot,NaN,"Dallas, TX","Dallas, TX"
Software Engineer,software engineer,NaN,TaxBit,taxbit,3,"New York, NY","New York, NY"
Software Engineer,software engineer,Estimated $122K - $155K a year,HP,hp,3.9,"Spring, TX 77389
+2 locations","Spring, TX"
Trainee Software Developer,trainee software developer,NaN,agileitsys,agileitsys,NaN,"Sterling, VA 20166","Sterling, VA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Software Engineer, Soundry","software engineer, soundry",NaN,Soundry,soundry,NaN,"Remote in New York, NY",remote
R&DIT Software Engineer,r&dit software engineer,NaN,AstraZeneca,astrazeneca,4,"Waltham, MA 02451","Waltham, MA"
Software Engineer,software engineer,Estimated $86.7K - $110K a year,Motorola Solutions,motorola solutions,4.1,"Somerville, MA 02145
+4 locations","Somerville, MA"
Remote Software Engineer,remote software engineer,Estimated $85.5K - $108K a year,Webstaurant Store,webstaurant store,2.8,"Remote in Lititz, PA 17543
+1 location",remote
Software Engineer,software engineer,NaN,Involgix,involgix,NaN,"Redmond, WA 98052 
(Rose Hill area)","Redmond, WA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Java Developer Recent Graduates - Entry Level Positions,java developer recent graduates - entry level positions,Estimated $71.8K - $90.9K a year,Cogent Infotech Corporation,cogent infotech corporation,4.7,"Pittsburgh, PA 15241
+6 locations","Pittsburgh, PA"
Principal Cloud Engineer,principal cloud engineer,Estimated $147K - $187K a year,BMO Harris Bank,bmo harris bank,3.5,Remote in Illinois,remote
"Software Engineer In Test
new","software engineer in test
new",NaN,TEKsystems,teksystems,3.8,"Durham, NC 27701","Durham, NC"
Scripting Software Engineer,scripting software engineer,NaN,Robert Half,robert half,3.9,"Littleton, MA 01460
+39 locations","Littleton, MA"
"DevOps Engineer
new","devops engineer
new",Estimated $93.7K - $119K a year,Ansys,ansys,3.7,"Hybrid remote in Canonsburg, PA 15317
+9 locations","Hybrid remote in Canonsburg, PA 15317
+9 locations"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Junior Software Engineer,junior software engineer,NaN,"Sennco Solutions, Inc","sennco solutions, inc",3.8,"Plainfield, IL 60544","Plainfield, IL"
Electrical Firmware Engineer,electrical firmware engineer,Estimated $85.8K - $109K a year,Liberty Personnel Services,liberty personnel services,4.5,"Langhorne, PA
+1 location","Langhorne, PA"
Software Engineer,software engineer,NaN,Augmedix Inc.,augmedix inc.,NaN,Remote,remote
Software Engineer,software engineer,Estimated $120K - $152K a year,JetInsight,jetinsight,NaN,"San Mateo, CA","San Mateo, CA"
Software Engineer Technologist,software engineer technologist,Estimated $98.8K - $125K a year,Strategio,strategio,NaN,"Fort Lauderdale, FL
+1 location","Fort Lauderdale, FL"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Junior Game Designer,junior game designer,Estimated $84.2K - $107K a year,PlayStation Global,playstation global,NaN,"Santa Monica, CA","Santa Monica, CA"
Software Engineer - Backend,software engineer - backend,NaN,Hive,hive,NaN,"Seattle, WA
+3 locations","Seattle, WA"
Software Engineer,software engineer,Estimated $99.9K - $126K a year,Arch Convergence,arch convergence,NaN,"Concord, MA","Concord, MA"
Multiplayer Gameplay Software Engineer - The Sims,multiplayer gameplay software engineer - the sims,NaN,Electronic Arts,electronic arts,3.8,"Remote in Austin, TX 78729
+7 locations",remote
Senior Full Stack Software Engineer,senior full stack software engineer,NaN,Zillow,zillow,3.8,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Jr. Software Developer,jr. software developer,Estimated $73.8K - $93.5K a year,Amazon.com Services LLC,amazon.com services llc,3.5,"San Luis Obispo, CA 93401
+2 locations","San Luis Obispo, CA"
"Senior Software Engineer (C++, Embedded Systems)","senior software engineer (c++, embedded systems)",NaN,Kforce,kforce,3.8,"Andover, MA 01810
+10 locations","Andover, MA"
"Net Developer
new","net developer
new",NaN,firstPRO Inc.,firstpro inc.,3.6,Remote in Pennsylvania,remote
Software Engineer,software engineer,NaN,rockset,rockset,NaN,"San Mateo, CA
+2 locations","San Mateo, CA"
Software Test Engineer- Combines,software test engineer- combines,NaN,Sage Ag Inc,sage ag inc,NaN,"Silvis, IL
+5 locations","Silvis, IL"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,NaN,Microsoft,microsoft,4.2,"Redmond, WA 98052 
(Overlake area)
+2 locations","Redmond, WA"
Full Stack Web Developer II and III - Great Opportunity!!!,full stack web developer ii and iii - great opportunity!!!,NaN,ACT-1 Government,act-1 government,NaN,"Aiken, SC 29803
+5 locations","Aiken, SC"
"Senior .Net Developer - Contract to Hire - Remote - W2 only
new","senior .net developer - contract to hire - remote - w2 only
new",NaN,Stafford Technology,stafford technology,4.3,Remote,remote
Tableau Developer- Remote,tableau developer- remote,NaN,Kelly,kelly,3.8,"Remote in Moline, IL 61265",remote
"Systems Security Engineer-Embedded Systems
new","systems security engineer-embedded systems
new",Estimated $93.8K - $119K a year,Belcan,belcan,3.8,"Hybrid remote in Indianapolis, IN 46241","Hybrid remote in Indianapolis, IN 46241"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Senior Java Developer - Florida
new","senior java developer - florida
new",NaN,"ttg Talent Solutions, Inc.","ttg talent solutions, inc.",NaN,"Boca Raton, FL","Boca Raton, FL"
"MS Dynamics Developer
new","ms dynamics developer
new",NaN,Intelligent Wellhead Systems,intelligent wellhead systems,3.4,Remote,remote
"Full Stack Developer - Advanced
new","full stack developer - advanced
new",NaN,AllSTEM Connections,allstem connections,4.1,"Wilmington, DE 19801
+1 location","Wilmington, DE"
Sr. Software Developer,sr. software developer,Estimated $101K - $128K a year,BravoTech,bravotech,4.5,"McKinney, TX 75069","McKinney, TX"
Sr. Java Developer,sr. java developer,NaN,Advantech LLC,advantech llc,NaN,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Senior Software Engineer,senior software engineer,NaN,The Judge Group,the judge group,3.7,"New York, NY 10005 
(Financial District area)
+7 locations","New York, NY"
Java Developer,java developer,NaN,"Computer Enterprises, Inc. (CEI)","computer enterprises, inc. (cei)",3.3,"Cincinnati, OH 45242
+3 locations","Cincinnati, OH"
Senior Systems Integration Engineer,senior systems integration engineer,Estimated $120K - $152K a year,Cognitive Medical Systems,cognitive medical systems,2.5,"Remote in Anchorage, AK
+18 locations",remote
"Cloud Engineer-Senior Manager, Energy & Utility domain","cloud engineer-senior manager, energy & utility domain",Estimated $123K - $155K a year,Cognizant Technology Solutions,cognizant technology solutions,3.9,"Marietta, GA
+2 locations","Marietta, GA"
Software Engineer I - Cyber Security Analytics,software engineer i - cyber security analytics,NaN,"JPMorgan Chase Bank, N.A.","jpmorgan chase bank, n.a.",3.8,"Jersey City, NJ
+1 location","Jersey City, NJ"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer I/II,software engineer i/ii,NaN,"Crossworks Technologies, Inc.","crossworks technologies, inc.",NaN,"Cape Canaveral, FL","Cape Canaveral, FL"
Staff Software Engineer - Applied Machine Learning,staff software engineer - applied machine learning,Estimated $190K - $241K a year,Discord,discord,4.3,"Remote in San Francisco, CA 94107",remote
Software Engineer II,software engineer ii,NaN,Microsoft,microsoft,4.2,"Redmond, WA 98052 
(Overlake area)
+24 locations","Redmond, WA"
Software Engineer - Entry Level,software engineer - entry level,NaN,usCalibration Incorporated,uscalibration incorporated,NaN,"Irvine, CA 92614 
(San Joaquin Marsh area)","Irvine, CA"
Java/J2EE Developer,java/j2ee developer,NaN,VlookUp Global Technologies,vlookup global technologies,NaN,"Mountain View, HI 96771","Mountain View, HI"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Salesforce Developer (Software Engineer 1),salesforce developer (software engineer 1),NaN,U.S. Bank National Association,u.s. bank national association,3.6,"Denver, CO 80249 
(Gateway-Green Valley Ranch area)
+1 location","Denver, CO"
Senior Software Engineer - Data Platform,senior software engineer - data platform,Estimated $166K - $210K a year,Discord,discord,4.3,"Hybrid remote in San Francisco, CA 94107
+16 locations","Hybrid remote in San Francisco, CA 94107
+16 locations"
Software Engineer,software engineer,NaN,Sagitec,sagitec,4.5,Remote,remote
Back-End Software Engineer II,back-end software engineer ii,NaN,Microsoft,microsoft,4.2,"Redmond, WA 98052 
(Overlake area)","Redmond, WA"
Physics/Math Graduate - Entry Level Software Developer,physics/math graduate - entry level software developer,NaN,EAI Technologies,eai technologies,NaN,"Vienna, VA 22182
+1 location","Vienna, VA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Software Engineer, Front End","software engineer, front end",NaN,Meta,meta,4.1,"+10 locations
Remote",remote
"Senior Software Engineer, Backend","senior software engineer, backend",Estimated $180K - $228K a year,Pinterest,pinterest,4.1,Remote,remote
Staff Software Engineer,staff software engineer,NaN,ServiceNow,servicenow,3.7,"Remote in San Diego, CA 92121
+7 locations",remote
Principal WordPress Developer,principal wordpress developer,Estimated $101K - $128K a year,Ameritas,ameritas,3.1,Remote in Ohio,remote
".NET Developer
new",".net developer
new",NaN,"Computer Enterprises, Inc. (CEI)","computer enterprises, inc. (cei)",3.3,"Hybrid remote in Philadelphia, PA 19116","Hybrid remote in Philadelphia, PA 19116"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Senior Developer,senior developer,NaN,Kforce,kforce,3.8,"Lakewood, CO 80401
+2 locations","Lakewood, CO"
"Technical Product Manager
new","technical product manager
new",NaN,HealthVerity,healthverity,5,Remote,remote
Remote Software Engineer - All Levels,remote software engineer - all levels,Estimated $113K - $143K a year,Kikoff,kikoff,NaN,"Hybrid remote in San Francisco, CA
+3 locations","Hybrid remote in San Francisco, CA
+3 locations"
Senior Software Engineer,senior software engineer,NaN,S&P Global,s&p global,3.9,"Remote in Charleston, WV 25301
+126 locations",remote
Software Engineer,software engineer,Estimated $63.2K - $80.1K a year,University of the Cumberlands,university of the cumberlands,4.6,"Williamsburg, KY","Williamsburg, KY"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer I- Data,software engineer i- data,Estimated $61.6K - $78K a year,"Hy-Vee, Inc.","hy-vee, inc.",3.6,"West Des Moines, IA","West Des Moines, IA"
Junior Software Engineer - DPSS,junior software engineer - dpss,NaN,DCS Corp,dcs corp,4.3,"Ridgecrest, CA 93555","Ridgecrest, CA"
EDI Developer (Remote),edi developer (remote),NaN,TalentoHCM,talentohcm,4.4,"Remote in Dublin, OH 43017
+1 location",remote
"Software Engineer, Core Engineering Technologies","software engineer, core engineering technologies",Estimated $98K - $124K a year,Tesla,tesla,3.4,"Sparks, NV 89434
+90 locations","Sparks, NV"
Sr. Infrastructure Engineer,sr. infrastructure engineer,NaN,TEKsystems,teksystems,3.8,"Reston, VA 20190","Reston, VA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Lead Android Developer (onsite),lead android developer (onsite),NaN,Cognizant Technology Solutions,cognizant technology solutions,3.9,"Columbus, OH
+4 locations","Columbus, OH"
Junior AR/VR Software Engineer,junior ar/vr software engineer,NaN,Apple,apple,4.1,"Culver City, CA","Culver City, CA"
Release Engineer,release engineer,NaN,Zillow,zillow,3.8,Remote,remote
Software Engineer - Unity,software engineer - unity,NaN,Jam City,jam city,3.6,"Remote in Burbank, CA",remote
Junior Game Designer,junior game designer,Estimated $65.9K - $83.4K a year,Rumble Entertainment,rumble entertainment,NaN,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Junior Software Engineer,junior software engineer,Estimated $76.8K - $97.3K a year,Traxxas,traxxas,2.9,"McKinney, TX 75070","McKinney, TX"
Software Engineer - Delivery (CI/CD),software engineer - delivery (ci/cd),NaN,Squarespace,squarespace,4.5,"New York, NY 10014 
(West Village area)
+2 locations","New York, NY"
Full Stack Software Engineer,full stack software engineer,NaN,Adobe,adobe,4.3,"San Francisco, CA 94103 
(South Of Market area)","San Francisco, CA"
Software Engineer,software engineer,NaN,Medallion,medallion,3.6,"Remote in New York, NY 10011",remote
"Software Engineer, Computer Vision","software engineer, computer vision",NaN,Meta,meta,4.1,"+8 locations
Remote",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,NaN,Nike,nike,4.1,"Beaverton, OR
+1 location","Beaverton, OR"
Frontend Software Engineer,frontend software engineer,NaN,ByteDance,bytedance,4.2,"Mountain View, CA
+1 location","Mountain View, CA"
Support Engineer (Remote),support engineer (remote),Estimated $59K - $74.7K a year,Dynata,dynata,3,"Remote in Atlanta, GA",remote
Software Engineer,software engineer,Estimated $94.8K - $120K a year,Deloitte,deloitte,3.9,"Tampa, FL 33602 
(Downtown area)
+41 locations","Tampa, FL"
Software Engineer,software engineer,Estimated $78.6K - $99.6K a year,Michelin,michelin,4,"Greenville, SC","Greenville, SC"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Risk-Salt Lake City-Associate-Software Engineering,risk-salt lake city-associate-software engineering,Estimated $78.3K - $99.2K a year,Goldman Sachs,goldman sachs,3.9,"Salt Lake City, UT 84111 
(Downtown area)","Salt Lake City, UT"
Entry Level Software Engineer,entry level software engineer,Estimated $52.8K - $66.8K a year,Common Goal Systems Inc.,common goal systems inc.,NaN,"Elmhurst, IL 60126","Elmhurst, IL"
Software Engineer,software engineer,Estimated $94.5K - $120K a year,Yale University,yale university,4.2,"Remote in New Haven, CT 06510",remote
Software Engineer 1,software engineer 1,Estimated $69.5K - $88K a year,CAPSHER Technology,capsher technology,NaN,"Bryan, TX 77802 
(Memorial Forest area)","Bryan, TX"
Software Programmers - Full time,software programmers - full time,Estimated $82.3K - $104K a year,ZBrush,zbrush,NaN,"Thousand Oaks, CA","Thousand Oaks, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,NaN,PUTNAM RECRUITING GROUP,putnam recruiting group,NaN,Remote,remote
Associate Software Engineer,associate software engineer,Estimated $78.7K - $99.7K a year,Red Hat Software,red hat software,4,"Remote in Raleigh, NC 27601
+1 location",remote
Jr. Software Developer,jr. software developer,Estimated $81.9K - $104K a year,SogoTrade,sogotrade,NaN,"New York, NY","New York, NY"
"Software Engineer II - Backend (Remote - Austin, or U.S.)","software engineer ii - backend (remote - austin, or u.s.)",NaN,The Zebra,the zebra,3.2,"Remote in Austin, TX 78758",remote
Software Quality Engineer (SDET),software quality engineer (sdet),NaN,Bellwood Labs,bellwood labs,NaN,Remote,remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Backend Compiler Engineer - New College Grad 2023,backend compiler engineer - new college grad 2023,NaN,NVIDIA,nvidia,4.2,"Santa Clara, CA
+1 location","Santa Clara, CA"
"Senior Quality Automation Engineer (SDET)
new","senior quality automation engineer (sdet)
new",NaN,Fisher Investments,fisher investments,3.4,"Plano, TX 75023
+2 locations","Plano, TX"
Software Engineer - Booking - Costco Travel,software engineer - booking - costco travel,NaN,Costco Wholesale,costco wholesale,4.1,"Seattle, WA 98134 
(Industrial District area)
+18 locations","Seattle, WA"
"(Entry-Level) Embedded Software Design Engineer, R&D (HYBRID)","(entry-level) embedded software design engineer, r&d (hybrid)",Estimated $71.6K - $90.7K a year,Stryker,stryker,3.8,"Portage, MI","Portage, MI"
General Game Development Applications,general game development applications,Estimated $102K - $129K a year,Striking Distance Studios,striking distance studios,NaN,"San Ramon, CA","San Ramon, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Full Stack Software Engineer (Associate/Mid-Level))
new","full stack software engineer (associate/mid-level))
new",NaN,BOEING,boeing,3.9,"Mountain View, CA 94041
+3 locations","Mountain View, CA"
Senior Software Engineer,senior software engineer,Estimated $158K - $200K a year,Selby Jennings,selby jennings,3.7,"Boston, MA
+4 locations","Boston, MA"
"Software Engineer
new","software engineer
new",Estimated $57.7K - $73.1K a year,Lockheed Martin,lockheed martin,4,"Moorestown, NJ 08057
+126 locations","Moorestown, NJ"
"Software Engineer
new","software engineer
new",NaN,INTEL,intel,4.1,"Hybrid remote in Phoenix, AZ 85070","Hybrid remote in Phoenix, AZ 85070"
Junior-Level Software Engineer,junior-level software engineer,NaN,Leidos,leidos,3.7,"McLean, VA 22102
+3 locations","McLean, VA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Entry Level Software Engineer
new","entry level software engineer
new",NaN,Belcan,belcan,3.8,"Rockford, IL
+1 location","Rockford, IL"
Backend Software Engineer (Open To Remote),backend software engineer (open to remote),NaN,Permanent General Assurance Corp.,permanent general assurance corp.,3.6,Remote in Tennessee,remote
Software Engineer I,software engineer i,Estimated $72.7K - $92K a year,FUJIFILM,fujifilm,3.7,"Bothell, WA 98021","Bothell, WA"
Frontend Software Engineer,frontend software engineer,Estimated $100K - $127K a year,Siuvo,siuvo,NaN,"Princeton, NJ 08540","Princeton, NJ"
Junior Software Developer,junior software developer,Estimated $74.3K - $94.1K a year,NetCapital,netcapital,NaN,"Boston, MA","Boston, MA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer - Co-op,software engineer - co-op,Estimated $49.8K - $63K a year,Mortenson Dental Partners,mortenson dental partners,3.4,"Louisville, KY 40223","Louisville, KY"
Software Engineer I,software engineer i,NaN,Paychex,paychex,3.6,"Remote in Webster, NY 14580",remote
Junior Software Engineer,junior software engineer,NaN,Antares Vision North America,antares vision north america,2.5,"Mount Laurel, NJ 08054","Mount Laurel, NJ"
Associate Software Engineer,associate software engineer,Estimated $57.8K - $73.2K a year,"CNG Holdings, Inc","cng holdings, inc",NaN,Ohio,Ohio
Software Engineer,software engineer,Estimated $106K - $135K a year,Ojas Innovative Technologies,ojas innovative technologies,NaN,"Los Angeles, CA","Los Angeles, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer C#/.NET,software engineer c#/.net,NaN,Michael Page,michael page,3.7,"Remote in Chicago, IL
+18 locations",remote
ACCESS Database Developer - freelance - remote,access database developer - freelance - remote,NaN,Access DB Experts,access db experts,NaN,Remote,remote
Smartsheet Developer/ Consultant (Remote),smartsheet developer/ consultant (remote),NaN,The Mom Project,the mom project,3.8,"Remote in Sunnyvale, CA",remote
"Sr. Test Software Engineer
new","sr. test software engineer
new",NaN,Acara Solutions,acara solutions,3.1,"Hybrid remote in San Diego, CA","Hybrid remote in San Diego, CA"
Kubernetes Devops Private Cloud Engineer,kubernetes devops private cloud engineer,NaN,The Judge Group,the judge group,3.7,"Cambridge, MA","Cambridge, MA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Senior React Engineer // ReactJS, .NET","senior react engineer // reactjs, .net",NaN,Motion Recruitment,motion recruitment,3.7,"New York, NY 10036
+37 locations","New York, NY"
Software Engineer,software engineer,NaN,Autodesk,autodesk,4.1,"Boston, MA 02111 
(Chinatown area)
+2 locations","Boston, MA"
Junior Software Engineer/ Java,junior software engineer/ java,NaN,"Systems Planning and Analysis, Inc.","systems planning and analysis, inc.",3.7,"San Diego, CA 92108 
(Mission Valley East area)","San Diego, CA"
Cloud Software Engineer,cloud software engineer,NaN,INTEL,intel,4.1,"Hybrid remote in Santa Clara, CA 95054
+2 locations","Hybrid remote in Santa Clara, CA 95054
+2 locations"
"Software Engineer, Product Development","software engineer, product development",NaN,OpenAI,openai,NaN,"San Francisco, CA 
(Mission area)
+1 location","San Francisco, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Software Developer, Junior, Part-Time","software developer, junior, part-time",NaN,DeVillier's Technology Solutions,devillier's technology solutions,NaN,"+1 location
Remote",remote
"Software Engineer, Design and Development","software engineer, design and development",Estimated $97.4K - $123K a year,Tesla,tesla,3.4,"Fremont, CA
+1 location","Fremont, CA"
Software Development Engineer - Backend,software development engineer - backend,Estimated $84.5K - $107K a year,Nektar,nektar,2.8,"Remote in San Francisco, CA 94158",remote
Mid-Level Software Engineer - Backend,mid-level software engineer - backend,NaN,"Gametime United, Inc.","gametime united, inc.",3,Remote,remote
Python Developer,python developer,NaN,Citi,citi,3.9,"New York, NY
+4 locations","New York, NY"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Embedded System Test Engineer
new","embedded system test engineer
new",Estimated $85.6K - $108K a year,Softnice Inc,softnice inc,4.1,"Zeeland, MI","Zeeland, MI"
Software Development Co-op,software development co-op,Estimated $57.8K - $73.2K a year,NOKIA,nokia,4.1,"Sunnyvale, CA 94086 
(Washington area)","Sunnyvale, CA"
Entry Level Software Developer,entry level software developer,NaN,Cives Corporation,cives corporation,NaN,"Alpharetta, GA 30022","Alpharetta, GA"
Wireless Bluetooth Software Engineer,wireless bluetooth software engineer,NaN,Apple,apple,4.1,"Cupertino, CA
+11 locations","Cupertino, CA"
