title,title_lower,salary,company,company_lower,rating,job_location,job_location_clean
Software Development Engineer,software development engineer,NaN,Adobe,adobe,4.3,"Lehi, UT 84043
+3 locations","Lehi, UT"
Software Engineer - Trust & Safety,software engineer - trust & safety,NaN,Anthropic,anthropic,NaN,"Hybrid remote in San Francisco, CA 94111","Hybrid remote in San Francisco, CA 94111"
DevOps Professional- Software Engineer,devops professional- software engineer,NaN,AT&T,at&t,3.7,"Remote in Dallas, TX
+1 location",remote
html Coder,html coder,Estimated $64.7K - $82K a year,Resmatic Inc.,resmatic inc.,NaN,"Remote in Sebastopol, CA",remote
Jr. Software Developer,jr. software developer,NaN,Labor Tech Solution,labor tech solution,NaN,"Sacramento, CA","Sacramento, CA"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Software Engineer,software engineer,NaN,VIP Tires and Service,vip tires and service,2.3,"Auburn, ME 04210","Auburn, ME"
Sr. Software Engineer,sr. software engineer,Estimated $106K - $135K a year,Alaka`ina Foundation Family of Companies,alaka`ina foundation family of companies,3.4,"Kirtland AFB, NM","Kirtland AFB, NM"
Software Engineer III (Backend),software engineer iii (backend),NaN,MedBridge Inc.,medbridge inc.,3.7,Remote,remote
Principal Engineer (Software),principal engineer (software),Estimated $141K - $179K a year,CYPHER LEARNING,cypher learning,NaN,"Remote in Plano, TX 75024",remote
"Lead IT Engineer, CRM platforms","lead it engineer, crm platforms",NaN,Moen,moen,3.6,"North Olmsted, OH 44070","North Olmsted, OH"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Commodities Front Office Software Engineer,commodities front office software engineer,NaN,Macquarie Group Limited,macquarie group limited,3.8,"New York, NY 10019 
(Midtown area)
+2 locations","New York, NY"
Backend engineer,backend engineer,NaN,Fuge Technologies Inc,fuge technologies inc,NaN,Remote,remote
Entry Level Python Developer - 482020,entry level python developer - 482020,NaN,I28 Technologies Corporation,i28 technologies corporation,NaN,"+9 locations
Remote",remote
Software Engineer,software engineer,NaN,"MW Industries, Inc.","mw industries, inc.",NaN,Remote,remote
Entry Level Software Engineer,entry level software engineer,Estimated $71.2K - $90.1K a year,Delta Mobile Systems,delta mobile systems,NaN,"Elgin, IL 60123","Elgin, IL"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Senior Software Engineer, Backend","senior software engineer, backend",NaN,Peloton,peloton,3.2,"Remote in New York, NY 10011
+2 locations",remote
Software Developer - Entry level,software developer - entry level,NaN,SoftSages Technology Inc,softsages technology inc,NaN,"Richmond, VA","Richmond, VA"
Software Engineer,software engineer,Estimated $112K - $142K a year,PayPal,paypal,3.9,"Austin, TX
+6 locations","Austin, TX"
Junior Software Engineer,junior software engineer,NaN,Cloud Composed LLC,cloud composed llc,NaN,"Omaha, NE","Omaha, NE"
Software Engineer,software engineer,NaN,Carnegie Robotics,carnegie robotics,4.4,"Hybrid remote in Pittsburgh, PA 15201","Hybrid remote in Pittsburgh, PA 15201"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
"Software Engineer II, Python","software engineer ii, python",Estimated $97.1K - $123K a year,Cox Communications,cox communications,3.8,"Atlanta, GA
+26 locations","Atlanta, GA"
Web-based Display Developer,web-based display developer,Estimated $91.7K - $116K a year,Emergent Space Technologies,emergent space technologies,NaN,"Houston, TX 77058 
(Clear Lake area)","Houston, TX"
Embedded Systems Engineer,embedded systems engineer,NaN,"Integrated Mill Systems, Inc.","integrated mill systems, inc.",NaN,"Knoxville, TN 37902 
(Downtown Knoxville area)","Knoxville, TN"
"Principal/Software Engineer (PGS Space Systems)
new","principal/software engineer (pgs space systems)
new",NaN,Northrop Grumman,northrop grumman,4,"Los Angeles, CA
+111 locations","Los Angeles, CA"
Software Engineer-Cross Platform Mobile (Hybrid),software engineer-cross platform mobile (hybrid),Estimated $88K - $111K a year,Extron Electronics,extron electronics,3.3,"Hybrid remote in Raleigh, NC 27604
+3 locations","Hybrid remote in Raleigh, NC 27604
+3 locations"
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Junior Web Developer,junior web developer,NaN,Big Orange Lab,big orange lab,NaN,Remote,remote
Medical Software Quality Engineer,medical software quality engineer,NaN,IPG Photonics,ipg photonics,3.5,"Marlborough, MA 01752 
(Williams Street area)
+1 location","Marlborough, MA"
"Software Engineer, Front End","software engineer, front end",NaN,Meta,meta,4.1,"+10 locations
Remote",remote
Software Engineer,software engineer,Estimated $97K - $123K a year,New Balance,new balance,3.9,Hybrid remote in Massachusetts,Hybrid remote in Massachusetts
"Software Engineer
new","software engineer
new",NaN,EDI Health Group Inc,edi health group inc,3.3,"Remote in Irvine, CA 92614",remote
NaN,nan,NaN,NaN,nan,NaN,NaN,NaN
Full-Time Junior Software Engineer,full-time junior software engineer,Estimated $66K - $83.5K a year,BOEING,boeing,3.9,"San Luis Obispo, CA","San Luis Obispo, CA"
Software Engineers & Programmers - entry-level or recent graduates,software engineers & programmers - entry-level or recent graduates,Estimated $65.1K - $82.5K a year,"Decilog, Inc.","decilog, inc.",NaN,"Melville, NY 11747","Melville, NY"
